Year,Species,REGION NO. 57 - INDIAN OCEAN EAST - Andhra- Pradesh,REGION NO. 57 - INDIAN OCEAN EAST - Orissa,REGION NO. 57 - INDIAN OCEAN EAST - Tamil Nadu,REGION NO. 57 - INDIAN OCEAN EAST - West Bengal,REGION NO. 57 - INDIAN OCEAN EAST - Andaman & Nicobar,REGION NO. 57 - INDIAN OCEAN EAST - Pondi- cherry,REGION NO. 57 - INDIAN OCEAN EAST - Total,REGION NO. 51 - INDIAN OCEAN WEST - Gujarat,REGION NO. 51 - INDIAN OCEAN WEST - Karnataka,REGION NO. 51 - INDIAN OCEAN WEST - Kerala,REGION NO. 51 - INDIAN OCEAN WEST - Maharashtra,REGION NO. 51 - INDIAN OCEAN WEST - Goa,REGION NO. 51 - INDIAN OCEAN WEST - Lakshadweep,REGION NO. 51 - INDIAN OCEAN WEST - Daman & Diu,REGION NO. 51 - INDIAN OCEAN WEST - Total,Total for India,Sl. No.,REGION NO. 57 - INDIAN OCEAN EAST - A.P.,REGION NO. 57 - INDIAN OCEAN EAST - T.N.,REGION NO. 57 - INDIAN OCEAN EAST - W.B.,REGION NO. 57 - INDIAN OCEAN EAST - A & N Islands,REGION NO. 57 - INDIAN OCEAN EAST - Puducherry
2010,Scombridae (Tuna Like Fishes),,2042.0,,,,,10509,0.0,,,4824.0,2542.0,,25.0,7391,17900,37,1102.0,4805.0,0.0,2560.0,
2010,Trichiuridae (Hair Tails),,6847.0,,,,,22071,54270.0,0.0,,24396.0,839.0,,78.0,79583,101654,38,5898.0,2442.0,4865.0,0.0,2019.0
2010,Rastelliger Ranagueta Indian Macker,,,,,,,37176,0.0,32333.0,,44164.0,,,683.0,77180,114356,39,15029.0,11851.0,9279.0,0.0,1017.0
2010,"Elasmobranches (Shark, Rays, Skates)",,4451.0,,,,,51130,15951.0,2105.0,3003.0,6588.0,3197.0,54.0,485.0,31383,82513,40,14786.0,16900.0,7484.0,2626.0,4883.0
2010,Other Marine Fishes,,15620.0,,,,,85464,157637.0,9224.0,120601.0,34347.0,6630.0,1454.0,4086.0,333979,419443,41,17731.0,38060.0,12083.0,0.0,1970.0
2010,Decapods - (a) Penaeid Prawn,,10312.0,,,,,66467,17286.0,16074.0,47678.0,34455.0,,,243.0,115736,182203,42,14330.0,30543.0,10156.0,468.0,658.0
2010,Decapods - (b) Non-Penaeid Prawn,,4051.0,,,,,28325,35807.0,1111.0,1693.0,67798.0,9970.0,,111.0,116490,144815,43,12340.0,8185.0,3575.0,174.0,
2010,Decapods - (c) Other Crust Crab,,,,,,,31634,2829.0,3852.0,402.0,450.0,,,32.0,7565,39199,44,4145.0,27489.0,0.0,0.0,
2010,Natanian Decapods,,,,,,,53,0.0,,,,53.0,,9.0,62,115,45,53.0,0.0,0.0,0.0,
2010,Marine Crust Crab,,3009.0,,,,,10824,0.0,,4528.0,1461.0,763.0,,139.0,6891,17715,46,6806.0,,299.0,710.0,
